seq,template,json,primary,status,posted_at
1,A,data/rldm.json,RLDM,pending,
2,B,data/b/rsdm.json,RSDM,pending,
3,C,data/c/rsdt.json,RSDT,pending,
4,A,data/rldt.json,RLDT,pending,
5,C,data/c/rsdm.json,RSDM,pending,
6,B,data/b/rsdt.json,RSDT,pending,
7,A,data/rsem.json,RSEM,pending,
8,D,data/d/rldt_rldm.json,RLDT,pending,
9,B,data/b/fsdm.json,FSDM,pending,
10,A,data/fldm.json,FLDM,pending,
11,C,data/c/fsdt.json,FSDT,pending,
12,E,data/e/karaoke.json,FLET,pending,
13,A,data/rset.json,RSET,pending,
14,B,data/b/fsdt.json,FSDT,pending,
15,C,data/c/fsdm.json,FSDM,pending,
16,A,data/fldt.json,FLDT,pending,
17,C,data/c/rldm.json,RLDM,pending,
18,B,data/b/rldt.json,RLDT,pending,
19,A,data/fsem.json,FSEM,pending,
20,D,data/d/fset_fsem.json,FSET,pending,
21,B,data/b/rldm.json,RLDM,pending,
22,A,data/rlem.json,RLEM,pending,
23,C,data/c/rldt.json,RLDT,pending,
24,E,data/e/fes_naki.json,FLDT,pending,
25,A,data/fset.json,FSET,pending,
26,B,data/b/rsem.json,RSEM,pending,
27,C,data/c/fldm.json,FLDM,pending,
28,A,data/rlet.json,RLET,pending,
29,C,data/c/rsem.json,RSEM,pending,
30,B,data/b/fldm.json,FLDM,pending,
31,A,data/flem.json,FLEM,pending,
32,D,data/d/rlet_rlem.json,RLET,pending,
33,B,data/b/rset.json,RSET,pending,
34,A,data/flet.json,FLET,pending,
35,C,data/c/fldt.json,FLDT,pending,
36,E,data/e/shinya.json,RLEM,pending,
37,A,data/rsdm.json,RSDM,pending,
38,B,data/b/fldt.json,FLDT,pending,
39,C,data/c/rset.json,RSET,pending,
40,A,data/rsdt.json,RSDT,pending,
41,C,data/c/fsem.json,FSEM,pending,
42,B,data/b/fset.json,FSET,pending,
43,A,data/fsdt.json,FSDT,pending,
44,D,data/d/rsdt_rsdm.json,RSDT,pending,
45,B,data/b/fsem.json,FSEM,pending,
46,C,data/c/fset.json,FSET,pending,
47,C,data/c/rlem.json,RLEM,pending,
48,E,data/e/zensen.json,FSDM,pending,
49,B,data/b/rlet.json,RLET,pending,
50,B,data/b/rlem.json,RLEM,pending,
51,C,data/c/flem.json,FLEM,pending,
52,C,data/c/rlet.json,RLET,pending,
53,C,data/c/flet.json,FLET,pending,
54,B,data/b/flem.json,FLEM,pending,
55,D,data/d/fldt_fldm.json,FLDT,pending,
56,D,data/d/rset_rsem.json,RSET,pending,
57,B,data/b/flet.json,FLET,pending,
58,E,data/e/earphone.json,RSDT,pending,
59,E,data/e/digger.json,RSEM,pending,
60,D,data/d/flet_flem.json,FLET,pending,
61,D,data/d/fsdt_fsdm.json,FSDT,pending,
